number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_class,params_objective,params_subsample,params_tree_method,state
36,0.96171,0.004487471748397476,0.6668689812783689,mlogloss,1.7688969646053017,0.06401983218908282,15,17,6,multi:softprob,0.792455469122486,gpu_hist,COMPLETE
37,0.96150125,0.0013978031140239838,0.6633764640059315,mlogloss,2.136274447226288,0.06177501026207341,15,1,6,multi:softprob,0.7892949058494636,gpu_hist,COMPLETE
38,0.95144375,0.004344131005077638,0.7736923316485697,mlogloss,1.1084500269504172,0.0014492673025268547,15,23,6,multi:softprob,0.9104944638735059,gpu_hist,COMPLETE
39,0.96184375,0.030728335568070933,0.5497136450037392,mlogloss,1.4018862592729138,0.045781775549027466,15,55,6,multi:softprob,0.8623530004732136,gpu_hist,COMPLETE
40,0.96171625,0.039420850981709506,0.9818487506540394,mlogloss,1.559301084950884,0.046772843763924425,15,17,6,multi:softprob,0.9551515474104779,gpu_hist,COMPLETE
41,0.96168625,0.020987267935773362,0.9558975113052943,mlogloss,1.5174208096824735,0.04474263315096239,15,16,6,multi:softprob,0.9672522158940128,gpu_hist,COMPLETE
42,0.961655,0.007747639527306824,0.8951394661695291,mlogloss,2.1644015145662787,0.06658592529009803,15,50,6,multi:softprob,0.9033098739363017,gpu_hist,COMPLETE
43,0.9618275,0.04302332345807243,0.9982434446246469,mlogloss,3.0157548564360432,0.026987434915054214,15,13,6,multi:softprob,0.8680591807001536,gpu_hist,COMPLETE
44,0.9619675,0.043138570813091325,0.9947130759595741,mlogloss,3.216408534139156,0.02814886315610949,15,40,6,multi:softprob,0.9612173396001938,gpu_hist,COMPLETE
45,0.96201375,0.052832999704991314,0.8834586244664957,mlogloss,3.2891851533914074,0.028115577262746237,15,47,6,multi:softprob,0.8738167519879614,gpu_hist,COMPLETE
46,0.96192625,0.01700225923870062,0.8943567190239796,mlogloss,6.23142964202351,0.032583740410129715,11,41,6,multi:softprob,0.9993270599515534,gpu_hist,COMPLETE
47,0.9613475,0.01915166145730144,0.8851812593372297,mlogloss,5.418065203336868,0.01833446375938648,11,60,6,multi:softprob,0.9943467790798999,gpu_hist,COMPLETE
48,0.9593625,0.023969536406643618,0.9361526579691422,mlogloss,3.099234684291148,0.013419768724598422,11,270,6,multi:softprob,0.9022049331971079,gpu_hist,COMPLETE
49,0.96182375,0.05255222990663847,0.8482159393128867,mlogloss,6.621009450928835,0.03489836595876401,20,41,6,multi:softprob,0.9618227305291519,gpu_hist,COMPLETE
50,0.96114375,0.014618110794715422,0.8500585618330818,mlogloss,0.5410965517884557,0.030488949169472753,11,219,6,multi:softprob,0.9988694415446938,gpu_hist,COMPLETE
51,0.95845125,0.03256641563419415,0.5445321631640428,mlogloss,4.99483346806836,0.022672452453277262,7,61,6,multi:softprob,0.8559457781422231,gpu_hist,COMPLETE
52,0.96188875,0.010447871954193616,0.755149666959908,mlogloss,7.982041441186907,0.037610971515233835,15,37,6,multi:softprob,0.929256271208863,gpu_hist,COMPLETE
53,0.96132625,0.008593281520783043,0.7571293283252202,mlogloss,7.7869809818765345,0.03747698619205891,15,297,6,multi:softprob,0.9249098726844464,gpu_hist,COMPLETE
54,0.962025,0.012930362731080492,0.919601655814466,mlogloss,3.2979104166835134,0.028988854319129776,15,51,6,multi:softprob,0.8946757224299327,gpu_hist,COMPLETE
55,0.95708125,0.012589553920010292,0.9241633670851662,mlogloss,9.742957563157464,0.027473146981155053,5,40,6,multi:softprob,0.9745609730143094,gpu_hist,COMPLETE
56,0.96032125,0.005274672860449367,0.8097432114166295,mlogloss,3.3885600427271014,0.01017718922691524,13,73,6,multi:softprob,0.8898109479156815,gpu_hist,COMPLETE
57,0.96197625,0.0023478069030635706,0.9675662056765677,mlogloss,0.9808354864296798,0.02035888208599473,15,43,6,multi:softprob,0.9422992024614918,gpu_hist,COMPLETE
58,0.96162,0.002393338295754019,0.9553514528147184,mlogloss,0.813046640916962,0.020628307680136248,11,50,6,multi:softprob,0.953963948984919,gpu_hist,COMPLETE
59,0.961725,0.056340054087072565,0.8729749529473786,mlogloss,2.2563854105045116,0.01479093329812537,20,80,6,multi:softprob,0.9792882176150218,gpu_hist,COMPLETE
60,0.96112125,0.0028389458152864827,0.9066757021354896,mlogloss,1.009313940474814,0.010730306361793876,15,65,6,multi:softprob,0.9416391497751967,gpu_hist,COMPLETE
61,0.96194375,0.01277520187436783,0.9639764353431496,mlogloss,6.496447939485999,0.030576738411639503,15,27,6,multi:softprob,0.9228546062336336,gpu_hist,COMPLETE
62,0.962075,0.08789497541881786,0.9615885664760261,mlogloss,3.8535147118568265,0.02901684567925377,15,23,6,multi:softprob,0.8987224173498849,gpu_hist,COMPLETE
63,0.96199625,0.09767769770591675,0.968936172030697,mlogloss,3.7053486167972345,0.02591478082760647,15,26,6,multi:softprob,0.894190905234063,gpu_hist,COMPLETE
64,0.9619875,0.11328046593098752,0.9989649492067216,mlogloss,3.7631446539463567,0.025463169265982757,15,10,6,multi:softprob,0.8930118342963504,gpu_hist,COMPLETE
65,0.9618275,0.15084042390945995,0.9350145882335735,mlogloss,3.9965737394466645,0.014982465696946442,15,7,6,multi:softprob,0.8971893708363784,gpu_hist,COMPLETE
66,0.96186375,0.06548358865314728,0.9749370705901446,mlogloss,2.4336597405671205,0.01998176311323054,15,11,6,multi:softprob,0.887666748837808,gpu_hist,COMPLETE
67,0.96078625,0.10185900005030005,0.9484811490925752,mlogloss,1.8525258502642294,0.007514042707937256,15,21,6,multi:softprob,0.8456116021428699,gpu_hist,COMPLETE
68,0.94487875,0.20155410873945234,0.9130491468296691,mlogloss,1.2559087095222885,0.023924658568966323,3,50,6,multi:softprob,0.42153886858498096,gpu_hist,COMPLETE
69,0.96185375,0.09466119057013216,0.8713979325149177,mlogloss,0.002065206090233856,0.016380179992464883,15,7,6,multi:softprob,0.9127599649279252,gpu_hist,COMPLETE
70,0.96197,0.0011221349525905337,0.9739120152889368,mlogloss,0.46105980292171744,0.024230133066303235,13,29,6,multi:softprob,0.8228719777465424,gpu_hist,COMPLETE
71,0.9619475,0.002149178973858464,0.9846704764608626,mlogloss,0.4713941244195194,0.02418145655976715,13,31,6,multi:softprob,0.8148922935265526,gpu_hist,COMPLETE
72,0.961915,0.001357322819578247,0.9322443180126695,mlogloss,0.7612009054032453,0.019943636536313567,13,24,6,multi:softprob,0.8607801832902283,gpu_hist,COMPLETE
73,0.96191625,0.0010226295156865878,0.9692350937972399,mlogloss,4.158100569848665,0.03912852125317864,13,25,6,multi:softprob,0.8285808102245416,gpu_hist,COMPLETE
74,0.9561975,0.0033831871479519634,0.9981013372580273,mlogloss,0.2738790336916298,0.012242381771518823,7,161,6,multi:softprob,0.877322619018178,gpu_hist,COMPLETE
75,0.959905,0.12188566401107467,0.9176092609374729,mlogloss,1.0748952005738,0.05358297732728028,5,2,6,multi:softprob,0.888063811836717,gpu_hist,COMPLETE
76,0.961965,0.07258472273319481,0.9504886610516914,mlogloss,2.7123282984676864,0.02478838628708058,15,48,6,multi:softprob,0.91114675069529,gpu_hist,COMPLETE
77,0.96190625,0.00634802490744668,0.9733064116189248,mlogloss,0.06462324044870259,0.03095255914063398,15,56,6,multi:softprob,0.7677243612532056,gpu_hist,COMPLETE
78,0.9617025,0.0018791913011173308,0.8297137909582536,mlogloss,1.961870776729681,0.01622353192265299,13,32,6,multi:softprob,0.8459903398575305,gpu_hist,COMPLETE
79,0.961755,0.2875492518243795,0.945870131161249,mlogloss,0.1724474241325175,0.02634334238173058,17,14,6,multi:softprob,0.9434555617503223,gpu_hist,COMPLETE
80,0.96189125,0.5335137462852243,0.9046424036524383,mlogloss,3.9421297174996037,0.04019800013611268,15,79,6,multi:softprob,0.8748418568262045,gpu_hist,COMPLETE
81,0.96194375,0.028210763675039666,0.9932769831308036,mlogloss,3.3273291042476085,0.021694250795475736,15,43,6,multi:softprob,0.9388263760677626,gpu_hist,COMPLETE
82,0.96199875,0.04641209431044353,0.9752245909969244,mlogloss,1.5167523443974504,0.02883020801091727,15,36,6,multi:softprob,0.9131637123956151,gpu_hist,COMPLETE
83,0.9618725,0.15330464498271312,0.6184088126400767,mlogloss,1.4588673285894778,0.0186210753484202,15,21,6,multi:softprob,0.916573510265424,gpu_hist,COMPLETE
84,0.9619625,0.2170299680340448,0.9668839095040908,mlogloss,0.8890736350678006,0.03334085388235686,15,34,6,multi:softprob,0.8970735114644666,gpu_hist,COMPLETE
85,0.95222375,0.0014671419783677479,0.9217300972956084,mlogloss,0.026607819646582237,0.048802676482481926,3,10,6,multi:softprob,0.8657164664023773,gpu_hist,COMPLETE
86,0.96185875,0.08438842535273786,0.9827753931286303,mlogloss,2.485059825404556,0.02712647830576881,15,69,6,multi:softprob,0.8284327611463549,gpu_hist,COMPLETE
87,0.96195375,0.0010378122883147134,0.878441566537451,mlogloss,5.060120280183091,0.029755375469125666,20,57,6,multi:softprob,0.805239654432256,gpu_hist,COMPLETE
88,0.96062875,0.05142517188562945,0.8574350613737032,mlogloss,1.198479977178204,0.02156098147315445,9,102,6,multi:softprob,0.8520689295927718,gpu_hist,COMPLETE
89,0.961445,0.12528449306723424,0.9406561489315874,mlogloss,1.7973081988283754,0.08398847350413684,15,28,6,multi:softprob,0.9294710564458657,gpu_hist,COMPLETE
90,0.96181625,0.035059732487164784,0.6392444238425768,mlogloss,0.5055440226931165,0.0413723652217299,15,135,6,multi:softprob,0.9056022238041889,gpu_hist,COMPLETE
91,0.96184875,0.023375683323037733,0.9986239837878361,mlogloss,3.2865057515599836,0.0351698431780596,15,45,6,multi:softprob,0.9516563104212443,gpu_hist,COMPLETE
92,0.962025,0.05997365194588192,0.9600539859835278,mlogloss,2.5886243087305547,0.028280212885871837,15,38,6,multi:softprob,0.9710131122191112,gpu_hist,COMPLETE
93,0.96194,0.06764254183468033,0.963380337862914,mlogloss,2.588549668339867,0.02490357262518251,15,18,6,multi:softprob,0.9778534339398296,gpu_hist,COMPLETE
94,0.96198,0.04830225326362059,0.9786628119567883,mlogloss,5.683886481458626,0.029280222140569623,15,35,6,multi:softprob,0.8832699470136899,gpu_hist,COMPLETE
95,0.96178125,7.010917914106969,0.9542866279221283,mlogloss,5.0980336874376375,0.029148643580829522,15,37,6,multi:softprob,0.4479028359108091,gpu_hist,COMPLETE
96,0.9617175,0.057008358514847916,0.8953301969832174,mlogloss,6.353660436212074,0.05721555623633514,15,64,6,multi:softprob,0.8893680322616365,gpu_hist,COMPLETE
97,0.9619125,0.09842880279652068,0.9302201749595972,mlogloss,7.994742751791818,0.03251167704529662,15,46,6,multi:softprob,0.9300056403591128,gpu_hist,COMPLETE
98,0.9539725,0.045215156580440716,0.9825803871393318,mlogloss,4.052248701769011,0.008246522892188957,7,2,6,multi:softprob,0.5063983675586667,gpu_hist,COMPLETE
99,0.944225,0.03683822987790917,0.5790100880964288,mlogloss,2.054918483109104,0.0022870043768175924,15,54,6,multi:softprob,0.9692939178917017,gpu_hist,COMPLETE
100,0.95922375,0.36505697946318977,0.9106755612448878,mlogloss,1.433621663895005,0.043809541649375235,5,20,6,multi:softprob,0.9179991077818216,gpu_hist,COMPLETE
101,0.96201625,0.027976268255398284,0.9679475520056382,mlogloss,2.9498994266106466,0.02573179164723082,15,35,6,multi:softprob,0.878775265874892,gpu_hist,COMPLETE
102,0.96204125,0.0591128781538051,0.9430899474386675,mlogloss,2.9350590583658605,0.019437620636478053,15,36,6,multi:softprob,0.8740575034623018,gpu_hist,COMPLETE
103,0.96189875,0.02840282524865825,0.9420446617848273,mlogloss,2.8708452768308463,0.03540620160782922,15,35,6,multi:softprob,0.8709322408001261,gpu_hist,COMPLETE
104,0.96195125,0.017981852628983372,0.927050488284909,mlogloss,5.793931038252602,0.027579810942078054,15,11,6,multi:softprob,0.9004887542212917,gpu_hist,COMPLETE
105,0.958895,0.06283112520081681,0.9565514723271621,mlogloss,4.527803479111545,0.00485089381993952,15,25,6,multi:softprob,0.8834898506723385,gpu_hist,COMPLETE
106,0.96098875,0.08097420454754717,0.7283049994369624,mlogloss,3.5850735352628296,0.022894871386480473,9,37,6,multi:softprob,0.8378807297289995,gpu_hist,COMPLETE
107,0.96076625,0.041851533790849584,0.9857616665268932,mlogloss,2.2460412358880335,0.017045509472945062,17,220,6,multi:softprob,0.6113142593222587,gpu_hist,COMPLETE
108,0.96190125,0.11738658324933639,0.8871797656148295,mlogloss,1.6548997621306027,0.01961897688199319,15,15,6,multi:softprob,0.8577845561293631,gpu_hist,COMPLETE
109,0.961915,0.024622725446233142,0.9403475823254673,mlogloss,2.875210293153981,0.026071095675407233,15,51,6,multi:softprob,0.8962406792473572,gpu_hist,COMPLETE
110,0.961865,0.049054805799470205,0.9011003206417405,mlogloss,8.765323054860742,0.015220481861283726,15,30,6,multi:softprob,0.8784000487401998,gpu_hist,COMPLETE
111,0.96200125,0.07497673764773581,0.9626459706445567,mlogloss,4.130614344873627,0.029848284010798278,15,41,6,multi:softprob,0.9478185789653397,gpu_hist,COMPLETE
112,0.96195125,0.07464603212431489,0.9594061979835798,mlogloss,4.3012218962239475,0.03015074274855493,15,39,6,multi:softprob,0.9127010187371117,gpu_hist,COMPLETE
113,0.9618125,0.061293249833254064,0.9770567686377255,mlogloss,5.558370118329598,0.038383168841604,15,8,6,multi:softprob,0.923669744993287,gpu_hist,COMPLETE
114,0.96203625,0.08885724381262637,0.9169688429142719,mlogloss,6.914859958370826,0.022339586241243308,15,24,6,multi:softprob,0.9542285533994579,gpu_hist,COMPLETE
115,0.9619325,0.1415941469652014,0.8615735637977175,mlogloss,3.6398152347334785,0.021457448265416845,15,21,6,multi:softprob,0.4018830551226112,gpu_hist,COMPLETE
116,0.95985625,0.17854820875460103,0.9178592224906046,mlogloss,7.053817546198144,0.013577955958669497,9,26,6,multi:softprob,0.9601837185681192,gpu_hist,COMPLETE
117,0.9401675,3.6001870542385386,0.5143641454096726,mlogloss,2.4437283235667366,0.02326026852174002,3,45,6,multi:softprob,0.9511855169480662,gpu_hist,COMPLETE
118,0.96194,0.09557607313562128,0.5994622012630839,mlogloss,2.872762702057898,0.03219430603719541,15,60,6,multi:softprob,0.935404869383522,gpu_hist,COMPLETE
119,0.9619925,0.11184856001036034,0.93039980758865,mlogloss,4.230648984378284,0.0186143076787382,20,16,6,multi:softprob,0.7328553151730124,gpu_hist,COMPLETE
120,0.95847125,0.015682381659807464,0.9270971645252604,mlogloss,4.820258310066945,0.022464095153473664,7,249,6,multi:softprob,0.7117685455891039,gpu_hist,COMPLETE
121,0.96209625,0.08124126964399207,0.9510302907975816,mlogloss,3.5909264225503734,0.019121589219130423,20,16,6,multi:softprob,0.5544504524133146,gpu_hist,COMPLETE
122,0.96198,0.0828949654947756,0.9487965950890699,mlogloss,9.909660914706796,0.018848604209313984,20,19,6,multi:softprob,0.749993321149748,gpu_hist,COMPLETE
123,0.9620125,1.6039533892581723,0.909888017725858,mlogloss,2.0603472031860814,0.017176117772919393,20,26,6,multi:softprob,0.5942435256952118,gpu_hist,COMPLETE
124,0.96192,1.3117213772277911,0.9122947652351479,mlogloss,2.0359687852463324,0.017257652330049757,20,30,6,multi:softprob,0.5023240334376761,gpu_hist,COMPLETE
125,0.96143375,1.961047310445505,0.8313430508812912,mlogloss,3.2740381864831,0.011487805796213744,20,53,6,multi:softprob,0.5844509777510644,gpu_hist,COMPLETE
126,0.96181875,2.7396564122090403,0.8915586110146597,mlogloss,1.663151193076364,0.025735817971359962,20,43,6,multi:softprob,0.5523195472452825,gpu_hist,COMPLETE
127,0.9607575,1.642768764137287,0.9591663383858823,mlogloss,2.4801946690265435,0.013853589311565244,20,185,6,multi:softprob,0.5891352341837166,gpu_hist,COMPLETE
128,0.96192,0.03646034535619734,0.938793253048309,mlogloss,0.007758034569580941,0.020791594575156672,20,26,6,multi:softprob,0.5662419999930118,gpu_hist,COMPLETE
129,0.95226,0.22675419529998697,0.9066070153791964,mlogloss,7.310618291945275,0.015094814412213525,5,34,6,multi:softprob,0.5377659644343925,gpu_hist,COMPLETE
130,0.96176375,0.0697561294222959,0.9680808336702694,mlogloss,1.3081765909442589,0.03396589356757693,9,5,6,multi:softprob,0.9844156813984827,gpu_hist,COMPLETE
131,0.96202375,0.0932114231325803,0.9307482033141498,mlogloss,4.462542459798251,0.018389216981070124,20,17,6,multi:softprob,0.6752876616152085,gpu_hist,COMPLETE
132,0.96173875,0.08504719367285554,0.8797287818612313,mlogloss,3.1701638764245716,0.009087231014243833,20,13,6,multi:softprob,0.6433471181411742,gpu_hist,COMPLETE
133,0.96188625,0.054022322876887886,0.9495836349253588,mlogloss,2.149460774475594,0.028579209972053852,20,23,6,multi:softprob,0.6958982604756396,gpu_hist,COMPLETE
134,0.96187375,0.9307616652497123,0.9205645656324555,mlogloss,4.5775078961375835,0.024043405704717982,20,39,6,multi:softprob,0.5262249388864555,gpu_hist,COMPLETE
135,0.96195375,0.14583858018977774,0.9450692050397913,mlogloss,5.962812741028924,0.016177101851128504,15,31,6,multi:softprob,0.6653777211647096,gpu_hist,COMPLETE
136,0.96056375,0.0634319089845196,0.4500258507519729,mlogloss,3.6388607667551094,0.01809489495627289,20,46,6,multi:softprob,0.6225632678311043,gpu_hist,COMPLETE
137,0.96195,0.10019172333988467,0.9688701691214234,mlogloss,2.7642709630200444,0.02713233381938852,11,20,6,multi:softprob,0.9053865357035487,gpu_hist,COMPLETE
138,0.96172,0.03203908055163156,0.9864857476245396,mlogloss,1.7824018058459574,0.02084923789524512,15,67,6,multi:softprob,0.9500783508021764,gpu_hist,COMPLETE
139,0.9617825,0.04275469125706471,0.9348111909431475,mlogloss,3.77481708210964,0.0369108646000152,15,1,6,multi:softprob,0.7824355558292854,gpu_hist,COMPLETE
140,0.96194875,0.1340673547176395,0.795119187459432,mlogloss,4.816836505957525,0.022882446576352664,15,28,6,multi:softprob,0.9860542574363266,gpu_hist,COMPLETE
141,0.96192625,0.10137589226659156,0.9231833140427584,mlogloss,4.280782512878785,0.0186810515218298,20,14,6,multi:softprob,0.7258089948953751,gpu_hist,COMPLETE
142,0.96191,0.0840749351599224,0.9326213341256099,mlogloss,2.521131048688221,0.019642983818001284,20,17,6,multi:softprob,0.48656211091130575,gpu_hist,COMPLETE
143,0.9616525,0.17321779650035177,0.9017430701255084,mlogloss,3.091084496500054,0.01240855142608796,15,39,6,multi:softprob,0.9204973891924859,gpu_hist,COMPLETE
144,0.9619275,0.0537819981926514,0.9503073172713522,mlogloss,6.853544202876378,0.02578947905572902,20,7,6,multi:softprob,0.5454566136164196,gpu_hist,COMPLETE
145,0.9618925,0.07117749904116519,0.9601756559269835,mlogloss,3.8091820906947187,0.0317022074208309,17,33,6,multi:softprob,0.6727532823342668,gpu_hist,COMPLETE
146,0.9620675,0.11518187760559563,0.8682743841362159,mlogloss,5.6074675588651814,0.016798788294814414,20,25,6,multi:softprob,0.601368593659916,gpu_hist,COMPLETE
147,0.962,0.012739453361713176,0.871682232393447,mlogloss,5.729607416438751,0.015593251382511346,20,23,6,multi:softprob,0.5795780179341629,gpu_hist,COMPLETE
148,0.96179,0.012693197340138377,0.8704440711721094,mlogloss,5.747909532237224,0.015411262608564643,20,51,6,multi:softprob,0.5813684010073535,gpu_hist,COMPLETE
149,0.96201,0.0213359724844014,0.8856101148934649,mlogloss,7.948544217833475,0.017442956109251735,20,24,6,multi:softprob,0.5937080363487542,gpu_hist,COMPLETE
150,0.96173875,0.008934812563807406,0.8439301695161103,mlogloss,7.486597162289831,0.01150845688130768,20,24,6,multi:softprob,0.6009925078872929,gpu_hist,COMPLETE
151,0.96183125,0.011489268477261444,0.8637955047465842,mlogloss,8.184407007377816,0.013976066830304338,20,37,6,multi:softprob,0.6119199348807526,gpu_hist,COMPLETE
152,0.9619675,0.02028980029952387,0.8803500186110205,mlogloss,5.092272528390191,0.01666336408148489,20,30,6,multi:softprob,0.5588697149618211,gpu_hist,COMPLETE
153,0.9619825,0.025019543414647717,0.8942627096240576,mlogloss,5.943890105979886,0.017713269024326232,20,21,6,multi:softprob,0.5751218253664317,gpu_hist,COMPLETE
154,0.96196875,0.015257625496664734,0.8426218714135751,mlogloss,9.081086479406155,0.02224374083295082,20,42,6,multi:softprob,0.5953785850706339,gpu_hist,COMPLETE
155,0.9620125,0.029896895858936914,0.9149316394344998,mlogloss,6.6051447557567675,0.01678992420712648,20,10,6,multi:softprob,0.6400215549251105,gpu_hist,COMPLETE
