number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_class,params_objective,params_subsample,params_tree_method,state
0,0.94590875,0.0012997167355824006,0.5220366153821432,mlogloss,3.997991664930194,0.004254306107885567,17,184,6,multi:softprob,0.55599863004135,gpu_hist,COMPLETE
1,0.9618475,0.0015644418158088371,0.8780703511623749,mlogloss,0.0017030025969253946,0.04297155291625562,13,6,6,multi:softprob,0.49239836526669045,gpu_hist,COMPLETE
2,0.91316125,0.00604813582915469,0.7770713340132016,mlogloss,0.006837437604482792,0.006029309208565025,3,228,6,multi:softprob,0.9830467730431571,gpu_hist,COMPLETE
3,0.96115875,0.009041553917536143,0.5108386831245165,mlogloss,0.21192613957240766,0.09056694626675849,20,8,6,multi:softprob,0.9498642547213365,gpu_hist,COMPLETE
4,0.961205,0.04799958541588432,0.5068609646129407,mlogloss,0.030254387024007918,0.08536914656405373,9,187,6,multi:softprob,0.6903068147380429,gpu_hist,COMPLETE
5,0.9614725,0.11441712996378248,0.793025567305429,mlogloss,0.009179954354150801,0.06696978327412877,17,46,6,multi:softprob,0.5402491076013493,gpu_hist,COMPLETE
6,0.95809875,0.004383755898862162,0.31541298205645946,mlogloss,0.003208900042246498,0.07542937919214482,5,154,6,multi:softprob,0.8884675984277081,gpu_hist,COMPLETE
7,,0.002138790832514967,0.761541834132199,mlogloss,0.7039946498949207,0.0015184660608721682,17,1,6,multi:softprob,0.5923390148096195,gpu_hist,RUNNING
8,0.92510125,0.05062446210568234,0.5437952662902598,mlogloss,0.038191381005930884,0.0011200861348258397,11,4,6,multi:softprob,0.8743947028834211,gpu_hist,COMPLETE
9,0.96132125,0.47571599706692574,0.6150777754004519,mlogloss,0.0026971738191549593,0.019011138618420513,20,145,6,multi:softprob,0.8999043267794977,gpu_hist,COMPLETE
10,0.9490625,0.004088513646931925,0.624733937826449,mlogloss,0.0022232043841404064,0.013767419301578519,5,74,6,multi:softprob,0.9471920785131612,gpu_hist,COMPLETE
11,0.96043375,7.0015976510767235,0.9935713732117746,mlogloss,0.43203411762197064,0.028892632480935408,13,280,6,multi:softprob,0.4792196918795575,gpu_hist,COMPLETE
12,0.96151375,0.6788538043065628,0.8329932419236243,mlogloss,0.0010685897010474048,0.03802093229753771,13,72,6,multi:softprob,0.4260696218051805,gpu_hist,COMPLETE
13,0.96139,1.2494598010369709,0.9644561025708218,mlogloss,0.001015468159144359,0.0339272184473748,13,87,6,multi:softprob,0.40507241033836616,gpu_hist,COMPLETE
14,0.96175375,0.7527340347822574,0.8436981731053387,mlogloss,0.0010258474305298525,0.03604827493394751,13,95,6,multi:softprob,0.6618203491787799,gpu_hist,COMPLETE
15,0.95297875,5.1956810007991265,0.8795835324824081,mlogloss,0.017413689114912093,0.008494683152679679,7,117,6,multi:softprob,0.6843490496113975,gpu_hist,COMPLETE
16,0.95365125,0.1581804230609472,0.713557930645529,mlogloss,1.8871754609825055,0.0028385576923282796,15,38,6,multi:softprob,0.6152861131608574,gpu_hist,COMPLETE
17,0.9617875,2.34411195572544,0.9146158285355763,mlogloss,0.06568283184062171,0.045637400019525494,13,112,6,multi:softprob,0.7988319155251338,gpu_hist,COMPLETE
18,0.96050625,0.0010170147144059332,0.9215182146838713,mlogloss,0.7230943818304914,0.019217217474033852,13,288,6,multi:softprob,0.7691269423164462,gpu_hist,COMPLETE
19,0.96166875,2.4057309779957516,0.7172306397949949,mlogloss,0.11859788867556718,0.05045514724031027,15,234,6,multi:softprob,0.7779165741793453,gpu_hist,COMPLETE
20,0.95837125,0.013202921617301017,0.9018834976423802,mlogloss,0.0603566283725928,0.017546363728531467,7,124,6,multi:softprob,0.7814655336915273,gpu_hist,COMPLETE
21,0.9467825,0.289552035576114,0.3050102647178813,mlogloss,0.010550232460372748,0.011919442193677255,11,40,6,multi:softprob,0.8236873027709652,gpu_hist,COMPLETE
22,0.96157625,2.898416696617736,0.8557446357723025,mlogloss,0.0029961401909264136,0.05214709562257083,13,109,6,multi:softprob,0.6489895634215886,gpu_hist,COMPLETE
23,0.9615375,1.2326373704329028,0.9369354982531612,mlogloss,8.180400928500983,0.028080361001036645,13,95,6,multi:softprob,0.5942875328935187,gpu_hist,COMPLETE
24,0.96140125,0.043760397028960105,0.7534177951809515,mlogloss,0.00532623796235146,0.04418499349840331,13,147,6,multi:softprob,0.49816316368992175,gpu_hist,COMPLETE
25,0.961435,0.30850468449004065,0.8408906867153864,mlogloss,0.0010592808555125054,0.027311380017375327,9,52,6,multi:softprob,0.7435547409498282,gpu_hist,COMPLETE
26,0.95355125,1.206639688021768,0.9976525988993113,mlogloss,0.01804754007279991,0.05680029506104426,3,18,6,multi:softprob,0.836152532797472,gpu_hist,COMPLETE
27,0.96154125,8.906092408744598,0.6771576603537467,mlogloss,0.1072199785118476,0.09834820145094599,13,175,6,multi:softprob,0.7287328933934079,gpu_hist,COMPLETE
28,0.9614775,0.02078068595280146,0.8045635332274919,mlogloss,1.101969879340625,0.022475859778989055,13,67,6,multi:softprob,0.4738871168099546,gpu_hist,COMPLETE
29,0.961575,3.143118115145711,0.9256333094919575,mlogloss,0.2559158734168961,0.03855302083495827,13,99,6,multi:softprob,0.6348334651602364,gpu_hist,COMPLETE
30,0.92521625,0.21553572213861275,0.41482011958537646,mlogloss,0.0019801083685399954,0.0033587631041717353,17,195,6,multi:softprob,0.5720690194695824,gpu_hist,COMPLETE
31,0.959375,0.002051992354074427,0.8759429759052796,mlogloss,3.74276906700934,0.010465470285652003,13,139,6,multi:softprob,0.5293132170829951,gpu_hist,COMPLETE
32,0.961565,2.2901680610976967,0.7129935971725193,mlogloss,0.1292588423963953,0.05795372296071596,15,266,6,multi:softprob,0.828218097579639,gpu_hist,COMPLETE
33,0.96151125,0.8675083525904436,0.746259348148561,mlogloss,0.05712915701824594,0.044949364736333666,15,231,6,multi:softprob,0.7850007477419068,gpu_hist,COMPLETE
34,0.9576725,4.321863012365965,0.831950604866363,mlogloss,0.33243305608403667,0.007018920527185683,15,234,6,multi:softprob,0.7209864685600045,gpu_hist,COMPLETE
35,0.95351125,1.8812702405502186,0.7789736407755812,mlogloss,0.0046620195669697245,0.07117676803134927,3,213,6,multi:softprob,0.6758798571628319,gpu_hist,COMPLETE
36,0.96183375,1.8006958008672065,0.6870067125680749,mlogloss,0.1601327648562743,0.047857488523804066,20,162,6,multi:softprob,0.8087261786633421,gpu_hist,COMPLETE
37,0.96123625,0.5432678318409311,0.5470574322956372,mlogloss,0.01622482846689876,0.023707815930104573,20,178,6,multi:softprob,0.9971902232262762,gpu_hist,COMPLETE
38,0.96172125,0.3817962506379313,0.9513782695031017,mlogloss,0.031677379348448456,0.07664990052806625,20,159,6,multi:softprob,0.8571408039675764,gpu_hist,COMPLETE
39,0.96124125,0.06921331935020893,0.6589783955197255,mlogloss,0.008033360710367275,0.015159180615778018,20,126,6,multi:softprob,0.924864888087698,gpu_hist,COMPLETE
