number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_class,params_objective,params_subsample,params_tree_method,state
36,0.96238375,0.05758549759094647,0.8754525687574339,mlogloss,5.032887907963223,0.044691810903196155,13,22,6,multi:softprob,0.6787084620633829,gpu_hist,COMPLETE
37,0.96243375,0.018635549428756247,0.9848156131832891,mlogloss,0.45925998962056797,0.027465154766136538,13,50,6,multi:softprob,0.5437680145466417,gpu_hist,COMPLETE
38,0.9619025,0.004638455686742088,0.8894506755553042,mlogloss,1.1020331179044454,0.06569366085542759,13,35,6,multi:softprob,0.5127636332799752,gpu_hist,COMPLETE
39,0.954775,0.22468508853288052,0.794007319376001,mlogloss,0.26106645778174153,0.012007686408634059,5,16,6,multi:softprob,0.7022601167165732,gpu_hist,COMPLETE
40,0.9623625,0.06195041117809953,0.8269244054641606,mlogloss,0.652341622288608,0.04163636097365248,13,89,6,multi:softprob,0.6650931173540303,gpu_hist,COMPLETE
41,0.96210375,0.03278825203515714,0.7194985332802545,mlogloss,0.3392617838745021,0.01611480541583309,9,59,6,multi:softprob,0.9918472595182077,gpu_hist,COMPLETE
42,0.96254875,5.023716068062334,0.6495326934057686,mlogloss,0.2103480711447182,0.029301021303326916,11,73,6,multi:softprob,0.842694402936087,gpu_hist,COMPLETE
43,0.96262625,0.9314845438534054,0.6422226471247328,mlogloss,0.9138829765645532,0.03018746923430256,11,47,6,multi:softprob,0.8423183476924284,gpu_hist,COMPLETE
44,0.96256375,1.290141955156776,0.46293875057783296,mlogloss,0.9387426238526086,0.036710583148015105,11,42,6,multi:softprob,0.7403616550221329,gpu_hist,COMPLETE
45,0.962205,0.946760038924749,0.3333085953644258,mlogloss,0.9977489384535879,0.059335925474911205,11,36,6,multi:softprob,0.7319827587472296,gpu_hist,COMPLETE
46,0.96253,1.1917607355468371,0.4703298615762963,mlogloss,1.9083962436224877,0.042145530600475434,11,50,6,multi:softprob,0.7740342137528664,gpu_hist,COMPLETE
47,0.96219125,0.5930549364598876,0.5658902169741529,mlogloss,4.884759839074464,0.08026728672203645,11,13,6,multi:softprob,0.6408938424211805,gpu_hist,COMPLETE
48,0.96260625,0.23627802729039693,0.5043437378535273,mlogloss,0.7128561253454405,0.03622038378067312,11,60,6,multi:softprob,0.7859055955064828,gpu_hist,COMPLETE
49,0.943405,0.223014728516272,0.5156577350938082,mlogloss,0.5004460517116498,0.0023703722027268222,17,168,6,multi:softprob,0.5914643184235224,gpu_hist,COMPLETE
50,0.96266375,0.10216774975631936,0.6147036342185541,mlogloss,1.5062058987101115,0.030406181584418743,11,63,6,multi:softprob,0.8493829805429745,gpu_hist,COMPLETE
51,0.96258875,0.08894589558084494,0.5970874640723249,mlogloss,1.7581730551078503,0.031026719241407215,11,62,6,multi:softprob,0.8487620519623255,gpu_hist,COMPLETE
52,0.96259375,0.09300724927595547,0.6394047614977142,mlogloss,1.7134023749375038,0.03096973100026683,11,59,6,multi:softprob,0.8516995424983161,gpu_hist,COMPLETE
53,0.96263375,0.09035998666038744,0.6191080306411249,mlogloss,4.724058779756906,0.031911693886019867,11,58,6,multi:softprob,0.8510754690638469,gpu_hist,COMPLETE
